State,Year,Month,Assembly_no,Constituency_no,Position,Name_of_Candidate,Sex,Party,Votes,Age,Candidate_type,Total_valid_votes,Total Electors,Constituency_name,Constituency_type,total no of candidates,Turnout perecntage,Vote_share_percentage
Karnataka,2004,5,7,170,7,DR KARKI MP,M,IND,729,68,GEN,102826,147900,KUMTA,GEN,9,69.52,0.71
Karnataka,2004,5,7,170,8,ASHOK JADUGAR,M,IND,630,42,GEN,102826,147900,KUMTA,GEN,9,69.52,0.61
Karnataka,2004,5,7,170,9,AJAY MAHADEVA SHANBHOG,M,IND,542,70,GEN,102826,147900,KUMTA,GEN,9,69.52,0.53
Karnataka,2004,5,7,171,1,VISHVESHWAR HEGDE KAGERI,M,BJP,46787,44,GEN,96431,132845,ANKOLA,GEN,6,72.59,48.52
Karnataka,2004,5,7,171,2,SHANTARAM HEGDE SHIGEHALLI,M,INC,30709,58,GEN,96431,132845,ANKOLA,GEN,6,72.59,31.85
Karnataka,2004,5,7,171,3,VENKATESH HEGDE HOSBALE,M,JD(S),12428,42,GEN,96431,132845,ANKOLA,GEN,6,72.59,12.89
Karnataka,2004,5,7,171,4,VASANT GOVIND NAYAK,M,KNDP,2760,44,GEN,96431,132845,ANKOLA,GEN,6,72.59,2.86
Karnataka,2004,5,7,171,5,HEGDE GANESH GANAPATI,M,JP,2539,53,GEN,96431,132845,ANKOLA,GEN,6,72.59,2.63
Karnataka,2004,5,7,171,6,MERE REBELLO URBAN,F,USYP,1208,41,GEN,96431,132845,ANKOLA,GEN,6,72.59,1.25
Karnataka,2004,5,7,172,1,GANGADHAR NAGESH BHAT,M,BJP,36397,44,GEN,80539,134509,KARWAR,GEN,6,59.88,45.19
Karnataka,2004,5,7,172,2,RANE PRABHAKAR S,M,JD(S),20165,58,GEN,80539,134509,KARWAR,GEN,6,59.88,25.04
Karnataka,2004,5,7,172,3,ASHOK SHANKAR NAIK,M,INC,12260,42,GEN,80539,134509,KARWAR,GEN,6,59.88,15.22
Karnataka,2004,5,7,172,4,DR GAJENDER K NAYAK,M,JP,5046,41,GEN,80539,134509,KARWAR,GEN,6,59.88,6.27
Karnataka,2004,5,7,172,5,LEO FRANCIS LEWIS,M,AITC,4746,38,GEN,80539,134509,KARWAR,GEN,6,59.88,5.89
Karnataka,2004,5,7,172,6,PREETAM JAYARAM MASURKAR,M,KNDP,1925,40,GEN,80539,134509,KARWAR,GEN,6,59.88,2.39
Karnataka,2004,5,7,173,1,DESHPANDE RV,M,INC,55974,58,GEN,128150,179920,HALIYAL,GEN,5,71.23,43.68
Karnataka,2004,5,7,173,2,PATIL VEERABHADRAGOUDASHIVANAGOWDA,M,BJP,41765,45,GEN,128150,179920,HALIYAL,GEN,5,71.23,32.59
Karnataka,2004,5,7,173,3,S K GOUDA,M,JD(S),18055,55,GEN,128150,179920,HALIYAL,GEN,5,71.23,14.09
Karnataka,2004,5,7,173,4,JADHAV VIJENDRA P,M,JP,8733,51,GEN,128150,179920,HALIYAL,GEN,5,71.23,6.81
Karnataka,2004,5,7,173,5,DHUNDASI MAHMADAGOUSENANNESAB,M,KNDP,3623,33,GEN,128150,179920,HALIYAL,GEN,5,71.23,2.83
Karnataka,2004,5,7,174,1,VINAY KULKARNI,M,IND,33744,35,GEN,104206,144829,DHARWAD RURAL,GEN,10,71.95,32.38
Karnataka,2004,5,7,174,10,NINGAPPA RUDRAPPAKUDUVAKKALIGAR,M,BSP,1138,44,GEN,104206,144829,DHARWAD RURAL,GEN,10,71.95,1.09
Karnataka,2004,5,7,174,2,DESAI AB,M,JD(U),30514,58,GEN,104206,144829,DHARWAD RURAL,GEN,10,71.95,29.28
Karnataka,2004,5,7,174,3,AMBADAGATTI SHIVANANDARUDRAPPA,M,INC,19342,54,GEN,104206,144829,DHARWAD RURAL,GEN,10,71.95,18.56
Karnataka,2004,5,7,174,4,ILYAS AHMAD SIRAJ AHMED MULLA,M,IND,7203,40,GEN,104206,144829,DHARWAD RURAL,GEN,10,71.95,6.91
Karnataka,2004,5,7,174,5,SHIVANANDA HOLEHADAGALI,M,JD(S),6357,48,GEN,104206,144829,DHARWAD RURAL,GEN,10,71.95,6.1
Karnataka,2004,5,7,174,6,SANGAMESH CHANNABASAPPAHAMPANNAVAR,M,JP,1900,31,GEN,104206,144829,DHARWAD RURAL,GEN,10,71.95,1.82
Karnataka,2004,5,7,174,7,MALIMATH PARVATIDEVICHANDRASHEKARSWAMY,F,KNDP,1362,60,GEN,104206,144829,DHARWAD RURAL,GEN,10,71.95,1.31
Karnataka,2004,5,7,174,8,RAMESH K MALLEDI,M,IND,1355,34,ST,104206,144829,DHARWAD RURAL,GEN,10,71.95,1.3
Karnataka,2004,5,7,174,9,MANGAJI SUMITRA SOMANING,F,IND,1291,36,GEN,104206,144829,DHARWAD RURAL,GEN,10,71.95,1.24
Karnataka,2004,5,7,175,1,MOREY S R,M,INC,43334,66,GEN,113461,189559,DHARWAD,GEN,13,59.86,38.19
Karnataka,2004,5,7,175,10,MOHAMMAD ISMAIL SHAIKHHUSSAIN SHIKARI,M,BSP,824,50,GEN,113461,189559,DHARWAD,GEN,13,59.86,0.73
Karnataka,2004,5,7,175,11,GOPANKOPPA M,M,MUL,564,61,GEN,113461,189559,DHARWAD,GEN,13,59.86,0.5
Karnataka,2004,5,7,175,12,PRAKASH KATWE,M,USYP,367,45,GEN,113461,189559,DHARWAD,GEN,13,59.86,0.32
Karnataka,2004,5,7,175,13,CHANNU MALLIGAWAD,M,IND,366,37,SC,113461,189559,DHARWAD,GEN,13,59.86,0.32
Karnataka,2004,5,7,175,2,BELLAD CHANDRAKANT GURAPPA,M,BJP,37584,66,GEN,113461,189559,DHARWAD,GEN,13,59.86,33.13
Karnataka,2004,5,7,175,3,AGADI BASAVESHWAR (BABANNA)MURASAVIRAPPA,M,IND,13490,47,GEN,113461,189559,DHARWAD,GEN,13,59.86,11.89
Karnataka,2004,5,7,175,4,ADIVEPPA BASAVARAJ MASUR,M,KNDP,6774,45,GEN,113461,189559,DHARWAD,GEN,13,59.86,5.97
Karnataka,2004,5,7,175,5,GURURAJ HUNASIMARAD,M,JD(S),4359,35,GEN,113461,189559,DHARWAD,GEN,13,59.86,3.84
Karnataka,2004,5,7,175,6,KIRAN BASANNA SAMBRANI,M,JP,2341,34,SC,113461,189559,DHARWAD,GEN,13,59.86,2.06
Karnataka,2004,5,7,175,7,SUNKAD S T,M,SP,1378,40,GEN,113461,189559,DHARWAD,GEN,13,59.86,1.21
Karnataka,2004,5,7,175,8,PANDURANG BHIMARAOLAXMESHWAR,M,IND,1065,61,GEN,113461,189559,DHARWAD,GEN,13,59.86,0.94
Karnataka,2004,5,7,175,9,HAJARATABI ANWARSAB MIRJI,F,IND,1015,48,GEN,113461,189559,DHARWAD,GEN,13,59.86,0.89
Karnataka,2004,5,7,176,1,HONNALLI JABBARKHANHAYATKHAN,M,INC,41971,61,GEN,91076,149474,HUBLI,GEN,11,60.93,46.08
Karnataka,2004,5,7,176,10,PROF HASHAM A ILKAL,M,RPI(A),238,65,GEN,91076,149474,HUBLI,GEN,11,60.93,0.26
Karnataka,2004,5,7,176,11,MOHAMMAD GOUS GADAGKAR,M,SP,215,35,GEN,91076,149474,HUBLI,GEN,11,60.93,0.24
Karnataka,2004,5,7,176,2,ASHOK KATWE,M,BJP,40155,52,GEN,91076,149474,HUBLI,GEN,11,60.93,44.09
Karnataka,2004,5,7,176,3,MURUGESH EKLASPUR,M,KNDP,2353,40,GEN,91076,149474,HUBLI,GEN,11,60.93,2.58
Karnataka,2004,5,7,176,4,ALTAF M KITTUR,M,JP,1639,41,GEN,91076,149474,HUBLI,GEN,11,60.93,1.8
Karnataka,2004,5,7,176,5,DAVID GONI,M,CPI,1495,43,GEN,91076,149474,HUBLI,GEN,11,60.93,1.64
Karnataka,2004,5,7,176,6,SHOBHA D BALLARI,F,BSP,945,41,SC,91076,149474,HUBLI,GEN,11,60.93,1.04
Karnataka,2004,5,7,176,7,NEELGUND MAHABOOBSABDAVALSAB,M,JD(S),923,64,GEN,91076,149474,HUBLI,GEN,11,60.93,1.01
Karnataka,2004,5,7,176,8,PUJYA JAGADGURU SHRICHANDRASHEKHARA SWAMIJI GURUSHIVABASAVA SWAMIJI,M,IND,879,53,GEN,91076,149474,HUBLI,GEN,11,60.93,0.97
Karnataka,2004,5,7,176,9,IRSHAD BEGAM KHAZA MAINUDDINADHONI,F,IND,263,37,GEN,91076,149474,HUBLI,GEN,11,60.93,0.29
Karnataka,2004,5,7,177,1,JAGADISH SHETTAR,M,BJP,58501,48,GEN,133979,231157,HUBLI RURAL,GEN,11,57.96,43.66
Karnataka,2004,5,7,177,10,JAGADGURU CHANDRASHEKHARSWAMIGALU HOSMATH,M,IND,373,53,GEN,133979,231157,HUBLI RURAL,GEN,11,57.96,0.28
Karnataka,2004,5,7,177,11,ACHARYA,M,MP,343,38,GEN,133979,231157,HUBLI RURAL,GEN,11,57.96,0.26
Karnataka,2004,5,7,177,2,ANIL KUMAR PATIL,M,INC,31965,43,GEN,133979,231157,HUBLI RURAL,GEN,11,57.96,23.86
Karnataka,2004,5,7,177,3,PRAFULCHANDRA (PUPPI)KALLANGOUD RAYANAGOUDAR,M,JD(S),29869,51,GEN,133979,231157,HUBLI RURAL,GEN,11,57.96,22.29
Karnataka,2004,5,7,177,4,VIJAY SANKESHWAR,M,KNDP,9479,53,GEN,133979,231157,HUBLI RURAL,GEN,11,57.96,7.07
Karnataka,2004,5,7,177,5,HUSENSAB H MORAB,M,JP,966,42,GEN,133979,231157,HUBLI RURAL,GEN,11,57.96,0.72
Karnataka,2004,5,7,177,6,VENKATESH SAVADATTI,M,IND,948,54,GEN,133979,231157,HUBLI RURAL,GEN,11,57.96,0.71
Karnataka,2004,5,7,177,7,AFTAB .KHA. KILLEDAR,M,RPI(A),707,35,GEN,133979,231157,HUBLI RURAL,GEN,11,57.96,0.53
Karnataka,2004,5,7,177,8,KALAL SHANKAR BHARAMAJI,M,USYP,428,63,GEN,133979,231157,HUBLI RURAL,GEN,11,57.96,0.32
Karnataka,2004,5,7,177,9,NOOR AHMED HAJARATSABBYAHATTI,M,IND,400,47,GEN,133979,231157,HUBLI RURAL,GEN,11,57.96,0.3
Karnataka,2004,5,7,178,1,CHIKKANAGOUDRA SIDDANAGOUDAISHWARAGOUDA,M,BJP,28065,52,GEN,104280,137457,KALGHATGI,GEN,9,75.86,26.91
Karnataka,2004,5,7,178,2,BABUSAB K KASHIMANAVAR,M,JP,26107,55,GEN,104280,137457,KALGHATGI,GEN,9,75.86,25.04
Karnataka,2004,5,7,178,3,SIDDANAGOUDA PARVATAGOUDACHANAVEERANAGOUDA,M,INC,26016,55,GEN,104280,137457,KALGHATGI,GEN,9,75.86,24.95
Karnataka,2004,5,7,178,4,KESHAV M YADAV,M,JD(S),10096,54,GEN,104280,137457,KALGHATGI,GEN,9,75.86,9.68
Karnataka,2004,5,7,178,5,VISHWAPRAKASH RAJASHEKHARIAHULLAGADDIMATH,M,IND,6880,39,GEN,104280,137457,KALGHATGI,GEN,9,75.86,6.6
Karnataka,2004,5,7,178,6,PARASHURAM D KODDADDI,M,BSP,2592,33,SC,104280,137457,KALGHATGI,GEN,9,75.86,2.49
Karnataka,2004,5,7,178,7,SWAMY SHIVANAND H,M,IND,1693,32,GEN,104280,137457,KALGHATGI,GEN,9,75.86,1.62
Karnataka,2004,5,7,178,8,DR. DAMBAL Y B,M,KNDP,1416,59,GEN,104280,137457,KALGHATGI,GEN,9,75.86,1.36
Karnataka,2004,5,7,178,9,RENUKA BHIMAPPA MARADITOTA,F,SPSP,1415,43,ST,104280,137457,KALGHATGI,GEN,9,75.86,1.36
Karnataka,2004,5,7,179,1,AKKI MALLIKARJUNAPPASHAHADEVAPPA,M,JD(U),28184,45,GEN,95528,138679,KUNDGOL,GEN,17,68.88,29.5
Karnataka,2004,5,7,179,10,KAMADOLLI CHANNAPPA MALLAPPA,M,KNDP,1869,44,GEN,95528,138679,KUNDGOL,GEN,17,68.88,1.96
Karnataka,2004,5,7,179,11,KIRESUR FAKIRAPPA VENKAPPA,M,IND,1615,57,GEN,95528,138679,KUNDGOL,GEN,17,68.88,1.69
Karnataka,2004,5,7,179,12,KAMAREDDY VIRUPAXAPPAMARIGOWDA,M,IND,1374,59,GEN,95528,138679,KUNDGOL,GEN,17,68.88,1.44
Karnataka,2004,5,7,179,13,KATTIMANI VIRUPAXAPPABASAVANNEPPA,M,IND,1063,35,GEN,95528,138679,KUNDGOL,GEN,17,68.88,1.11
Karnataka,2004,5,7,179,14,RUDRAVVA SOMAYYA HIREMATH,F,IND,950,42,GEN,95528,138679,KUNDGOL,GEN,17,68.88,0.99
Karnataka,2004,5,7,179,15,NALABAND QAYAM SHOUKAT ALI,M,BSP,828,27,GEN,95528,138679,KUNDGOL,GEN,17,68.88,0.87
Karnataka,2004,5,7,179,16,ALI M SANDIMANI,M,IND,659,26,GEN,95528,138679,KUNDGOL,GEN,17,68.88,0.69
Karnataka,2004,5,7,179,17,NIRANJANAGOUDAVIRABADRAGOUDA SOMANAGOUDA,M,IND,603,36,GEN,95528,138679,KUNDGOL,GEN,17,68.88,0.63
Karnataka,2004,5,7,179,2,CHANNABASAPPA SATYAPPASHIVALLI,M,IND,23942,42,GEN,95528,138679,KUNDGOL,GEN,17,68.88,25.06
Karnataka,2004,5,7,179,3,ARVIND MAHADEVAPPA KATAGI,M,INC,12110,51,GEN,95528,138679,KUNDGOL,GEN,17,68.88,12.68
Karnataka,2004,5,7,179,4,KURTAKOTI MANJUNATHAGOUDAPRABUGOUDA,M,IND,7068,52,GEN,95528,138679,KUNDGOL,GEN,17,68.88,7.4
Karnataka,2004,5,7,179,5,SHIVANAND DYAVAPPA BENTUR,M,IND,4200,26,GEN,95528,138679,KUNDGOL,GEN,17,68.88,4.4
Karnataka,2004,5,7,179,6,GOVINDAPPA HANUMANTAPPAJUTAL,M,JD(S),3569,52,GEN,95528,138679,KUNDGOL,GEN,17,68.88,3.74
Karnataka,2004,5,7,179,7,PARASAPPA RAYAPPA CHALAWADI,M,IND,2900,29,SC,95528,138679,KUNDGOL,GEN,17,68.88,3.04
Karnataka,2004,5,7,179,8,KOBBAYYANAVARRAJKASHEKARAYYA CHANBASAYYA,M,JP,2572,37,GEN,95528,138679,KUNDGOL,GEN,17,68.88,2.69
Karnataka,2004,5,7,179,9,MUDIGOUDA SHANKARAGOUDAMALLANAGOUDA,M,IND,2022,33,GEN,95528,138679,KUNDGOL,GEN,17,68.88,2.12
Karnataka,2004,5,7,180,1,SINDHURA RAJASHEKAR,M,IND,41811,48,GEN,116340,163698,SHIGGAON,GEN,10,71.07,35.94
Karnataka,2004,5,7,180,10,AGADI PUTTAPPA ARJAPPA,M,KRRS,510,50,GEN,116340,163698,SHIGGAON,GEN,10,71.07,0.44
Karnataka,2004,5,7,180,2,KHADRI SYED AJIMPEER KHADARBASHA,M,INC,40971,39,GEN,116340,163698,SHIGGAON,GEN,10,71.07,35.22
Karnataka,2004,5,7,180,3,BEVINAMARADA SOMANNA,M,BJP,27096,42,GEN,116340,163698,SHIGGAON,GEN,10,71.07,23.29
Karnataka,2004,5,7,180,4,MOHAN B MENASANKAI,M,JD(S),1662,55,GEN,116340,163698,SHIGGAON,GEN,10,71.07,1.43
Karnataka,2004,5,7,180,5,DR PRABHUGOWDA RUDRAGOWDAPATIL,M,KNDP,1127,51,GEN,116340,163698,SHIGGAON,GEN,10,71.07,0.97
Karnataka,2004,5,7,180,6,DR SYED ROSHAN MULLA,M,BSP,999,33,GEN,116340,163698,SHIGGAON,GEN,10,71.07,0.86
Karnataka,2004,5,7,180,7,MIRAJAKAR RAMACHANDRAYOGAPPA,M,USYP,839,57,GEN,116340,163698,SHIGGAON,GEN,10,71.07,0.72
Karnataka,2004,5,7,180,8,WADDARA BASAVARAJA NARASAPPA,M,RPI(A),755,35,SC,116340,163698,SHIGGAON,GEN,10,71.07,0.65
Karnataka,2004,5,7,180,9,ALLA BAKSH ABDUL ZAHIRSOUDAGAR,M,JP,570,34,GEN,116340,163698,SHIGGAON,GEN,10,71.07,0.49
Karnataka,2004,5,7,181,1,UDASI C M,M,BJP,61167,67,GEN,119601,154788,HANAGAL,GEN,7,77.27,51.14
Karnataka,2004,5,7,181,2,MANOHAR TAHASILDAR,M,INC,43080,55,GEN,119601,154788,HANAGAL,GEN,7,77.27,36.02
Karnataka,2004,5,7,181,3,GANTER GUNDDAPPASANNASIDDAPPA,M,IND,7942,49,GEN,119601,154788,HANAGAL,GEN,7,77.27,6.64
Karnataka,2004,5,7,181,4,POOJAR NINGAPPA BASAPPA,M,JD(S),4238,54,GEN,119601,154788,HANAGAL,GEN,7,77.27,3.54
Karnataka,2004,5,7,181,5,MOHAMED GOUS ISMAIL TUREWALE,M,BSP,1595,28,GEN,119601,154788,HANAGAL,GEN,7,77.27,1.33
Karnataka,2004,5,7,181,6,UMESH R TALWAR,M,KNDP,996,29,GEN,119601,154788,HANAGAL,GEN,7,77.27,0.83
Karnataka,2004,5,7,181,7,INAMDAR Z N,M,JP,583,57,GEN,119601,154788,HANAGAL,GEN,7,77.27,0.49
Karnataka,2004,5,7,182,1,PATIL B C,M,JD(S),39237,48,GEN,111790,150392,HIREKERUR,GEN,6,74.33,35.1
Karnataka,2004,5,7,182,2,BANAKAR UJANESHWARBASAVANAPPA,M,BJP,34247,44,GEN,111790,150392,HIREKERUR,GEN,6,74.33,30.64
Karnataka,2004,5,7,182,3,BANNIKOD BASAPPAHANUMANTHAPPA,M,INC,29630,63,GEN,111790,150392,HIREKERUR,GEN,6,74.33,26.51
Karnataka,2004,5,7,182,4,JAYANTHI RAO,F,IND,5642,40,GEN,111790,150392,HIREKERUR,GEN,6,74.33,5.05
Karnataka,2004,5,7,182,5,DR RAMANAGOUDA V Y,M,JP,1574,61,GEN,111790,150392,HIREKERUR,GEN,6,74.33,1.41
Karnataka,2004,5,7,182,6,JOKANAL MARUTI BASAPPA,M,KNDP,1460,32,ST,111790,150392,HIREKERUR,GEN,6,74.33,1.31
Karnataka,2004,5,7,183,1,SHIVANNA G,M,BJP,57123,66,GEN,115920,163087,RANIBENNUR,GEN,8,71.08,49.28
Karnataka,2004,5,7,183,2,KOLIWAD KRISHNAPPA BHIMAPPA,M,INC,41037,60,GEN,115920,163087,RANIBENNUR,GEN,8,71.08,35.4
Karnataka,2004,5,7,183,3,KAMBLI KUBEERAPPA PUTTAPPA,M,JD(S),13135,54,GEN,115920,163087,RANIBENNUR,GEN,8,71.08,11.33
Karnataka,2004,5,7,183,4,RAJANNA P PAWAR,M,JP,1644,32,GEN,115920,163087,RANIBENNUR,GEN,8,71.08,1.42
Karnataka,2004,5,7,183,5,KOTRESH MEHARAWADE,M,USYP,901,29,GEN,115920,163087,RANIBENNUR,GEN,8,71.08,0.78
Karnataka,2004,5,7,183,6,DR HANDE MOHAN,M,IND,849,44,GEN,115920,163087,RANIBENNUR,GEN,8,71.08,0.73
Karnataka,2004,5,7,183,7,DR GANESH M DEVAGIRIMATH,M,KNDP,651,40,GEN,115920,163087,RANIBENNUR,GEN,8,71.08,0.56
Karnataka,2004,5,7,183,8,ALLA BAKSHA NEELAGAR,M,IND,580,41,GEN,115920,163087,RANIBENNUR,GEN,8,71.08,0.5
Karnataka,2004,5,7,184,1,OLEKAR NEHRU CHANABASAPPA,M,BJP,52686,48,SC,100286,136952,BYADGI,SC,6,73.23,52.54
Karnataka,2004,5,7,184,2,LAMANI RUDRAPPA MANAPPA,M,INC,41408,45,SC,100286,136952,BYADGI,SC,6,73.23,41.29
Karnataka,2004,5,7,184,3,LAXMAN BEELAGI K,M,JD(S),2815,43,SC,100286,136952,BYADGI,SC,6,73.23,2.81
Karnataka,2004,5,7,184,4,TERDAL SADANAND BHEEMAPPA,M,IND,1346,41,SC,100286,136952,BYADGI,SC,6,73.23,1.34
Karnataka,2004,5,7,184,5,HAREESHKUMAR V,M,KNDP,1066,39,SC,100286,136952,BYADGI,SC,6,73.23,1.06
Karnataka,2004,5,7,184,6,DYAMAPPA MUDAKAPPA VINAYAK,M,JP,965,60,SC,100286,136952,BYADGI,SC,6,73.23,0.96
Karnataka,2004,5,7,185,1,SHIVARAJ SAJJANAR,M,BJP,53482,45,GEN,116429,163437,HAVERI,GEN,5,71.24,45.94
Karnataka,2004,5,7,185,2,SHIVANNANAVAR BASAVARAJNEELAPPA,M,INC,51286,48,GEN,116429,163437,HAVERI,GEN,5,71.24,44.05
Karnataka,2004,5,7,185,3,BHEEMAKKANAVAR SHIVANANDHANUMANTAPPA,M,JD(S),7029,53,GEN,116429,163437,HAVERI,GEN,5,71.24,6.04
Karnataka,2004,5,7,185,4,BANKAPUR GANESHAPPA YELLAPPA,M,JP,2816,36,GEN,116429,163437,HAVERI,GEN,5,71.24,2.42
Karnataka,2004,5,7,185,5,GURUMATH SHIVANANDAYYASHIVAYYA,M,KNDP,1816,56,GEN,116429,163437,HAVERI,GEN,5,71.24,1.56
Karnataka,2004,5,7,186,1,GADDADEVARAMATH GADDAYYASHIVAMURTHYYA,M,INC,34151,54,GEN,90362,133322,SHIRHATTI,GEN,6,67.78,37.79
Karnataka,2004,5,7,186,2,GANGANNA MALLESHAPPAMAHANTASHETTAR,M,JD(U),31205,55,GEN,90362,133322,SHIRHATTI,GEN,6,67.78,34.53
Karnataka,2004,5,7,186,3,KAPPATTANAVAR VISHVANATHVIRUPAKSHAPPA,M,JD(S),20845,45,GEN,90362,133322,SHIRHATTI,GEN,6,67.78,23.07
Karnataka,2004,5,7,186,4,RAJESH SIDDAYYA KASHIMATH,M,IND,1431,33,GEN,90362,133322,SHIRHATTI,GEN,6,67.78,1.58
Karnataka,2004,5,7,186,5,ARAMANI CHANDRASHEKARMAHADEVAPPA,M,USYP,1417,62,GEN,90362,133322,SHIRHATTI,GEN,6,67.78,1.57
Karnataka,2004,5,7,186,6,DALAYATH KHURSHIDAHMADFAKRUDDIN,M,KNDP,1313,38,GEN,90362,133322,SHIRHATTI,GEN,6,67.78,1.45
Karnataka,2004,5,7,187,1,PATIL SHIDLINGANAGOUDASHIDDANAGOUDA,M,INC,40287,69,GEN,88117,135362,MUNDARGI,GEN,8,65.1,45.72
Karnataka,2004,5,7,187,2,DANDIN B F,M,JD(S),21071,68,GEN,88117,135362,MUNDARGI,GEN,8,65.1,23.91
Karnataka,2004,5,7,187,3,DR SHEKAR SAJJANAR,M,BJP,14522,50,GEN,88117,135362,MUNDARGI,GEN,8,65.1,16.48
Karnataka,2004,5,7,187,4,RATHOD BHEEMASINGH,M,IND,5813,35,SC,88117,135362,MUNDARGI,GEN,8,65.1,6.6
Karnataka,2004,5,7,187,5,BASAVANNEPPA SOMAPPACHINCHALI,M,KNDP,2609,48,GEN,88117,135362,MUNDARGI,GEN,8,65.1,2.96
Karnataka,2004,5,7,187,6,BAGALI KHATUNABI PHEERASAB,F,JP,1669,45,GEN,88117,135362,MUNDARGI,GEN,8,65.1,1.89
Karnataka,2004,5,7,187,7,VASANAGOUDA NINGANAGOUDABHANDI,M,IND,1413,41,GEN,88117,135362,MUNDARGI,GEN,8,65.1,1.6
Karnataka,2004,5,7,187,8,BANDI SAHADEVAPPA VEERAPPA,M,USYP,733,39,SC,88117,135362,MUNDARGI,GEN,8,65.1,0.83
Karnataka,2004,5,7,188,1,PATIL DR,M,INC,50580,58,GEN,97339,157301,GADAG,GEN,8,61.88,51.96
Karnataka,2004,5,7,188,2,SANKANNAVAR S B,M,BJP,35376,58,GEN,97339,157301,GADAG,GEN,8,61.88,36.34
Karnataka,2004,5,7,188,3,GADDI VIJAKUMAR FAKIRAPPA,M,KNDP,5402,38,GEN,97339,157301,GADAG,GEN,8,61.88,5.55
Karnataka,2004,5,7,188,4,HEBASUR FAKKIRAPPA IRAPPA,M,JD(S),2980,52,GEN,97339,157301,GADAG,GEN,8,61.88,3.06
Karnataka,2004,5,7,188,5,MALLIKARJUN BASAPPA DESAI,M,IND,1191,52,GEN,97339,157301,GADAG,GEN,8,61.88,1.22
Karnataka,2004,5,7,188,6,RAMPUR RAMANNA BHIMANNA,M,JP,871,33,GEN,97339,157301,GADAG,GEN,8,61.88,0.89
Karnataka,2004,5,7,188,7,ABDUL MUNAF GALBUSABMURDAKHAN,M,IND,524,50,GEN,97339,157301,GADAG,GEN,8,61.88,0.54
Karnataka,2004,5,7,188,8,ALLAUDDIN SAB REHAMANSABNADAL,M,IND,415,58,GEN,97339,157301,GADAG,GEN,8,61.88,0.43
Karnataka,2004,5,7,189,1,KALAKAPPA GURUSHANTAPPABANDI,M,BJP,46733,36,GEN,94384,140970,RON,GEN,7,66.95,49.51
Karnataka,2004,5,7,189,2,GURUPADAGOUDASANGAGANGOUDA PATIL,M,INC,38668,57,GEN,94384,140970,RON,GEN,7,66.95,40.97
Karnataka,2004,5,7,189,3,ASHOK M NAVAL GUND,M,JP,3355,46,GEN,94384,140970,RON,GEN,7,66.95,3.55
Karnataka,2004,5,7,189,4,VISHWABRAHMAN MANJUNATHBHIMARAO,M,JD(S),1898,33,GEN,94384,140970,RON,GEN,7,66.95,2.01
Karnataka,2004,5,7,189,5,BUDIHAL NAGESH ANDANAPPA,M,KNDP,1312,40,GEN,94384,140970,RON,GEN,7,66.95,1.39
Karnataka,2004,5,7,189,6,TEGGINAMANI NEELAPPA FAKIRAPPA,M,IND,1291,65,GEN,94384,140970,RON,GEN,7,66.95,1.37
Karnataka,2004,5,7,189,7,GOWDAR LOKANAGOUDASANTAGOUDA,M,KRRS,1127,42,GEN,94384,140970,RON,GEN,7,66.95,1.19
Karnataka,2004,5,7,190,1,PATIL C C,M,BJP,43382,45,GEN,79800,112888,NARAGUND,GEN,5,70.69,54.36
Karnataka,2004,5,7,190,2,YAVAGAL B R,M,INC,31260,57,GEN,79800,112888,NARAGUND,GEN,5,70.69,39.17
Karnataka,2004,5,7,190,3,SOMAPUR BASAVARADDIVANKARADDI,M,JD(S),2291,48,GEN,79800,112888,NARAGUND,GEN,5,70.69,2.87
Karnataka,2004,5,7,190,4,SOMANAKATTI SHARADA,F,KNDP,1653,40,GEN,79800,112888,NARAGUND,GEN,5,70.69,2.07
Karnataka,2004,5,7,190,5,TOTANAGOWD SANKANAGOWDCHANNAPPAGOWDRA,M,JP,1214,62,GEN,79800,112888,NARAGUND,GEN,5,70.69,1.52
Karnataka,2004,5,7,191,1,DR. SHIRIYANNAVAR RB,M,BJP,30195,59,GEN,86551,127913,NAVALGUND,GEN,9,67.66,34.89
Karnataka,2004,5,7,191,2,GADDI KALLAPPA NAGAPPA,M,INC,26356,37,GEN,86551,127913,NAVALGUND,GEN,9,67.66,30.45
Karnataka,2004,5,7,191,3,KONARADDI N H,M,JD(S),13318,41,GEN,86551,127913,NAVALGUND,GEN,9,67.66,15.39
Karnataka,2004,5,7,191,4,ASHOK ERAPPA KUSUGAL,M,JP,10444,49,GEN,86551,127913,NAVALGUND,GEN,9,67.66,12.07
Karnataka,2004,5,7,191,5,KALLUR SHIVASHANKARCHANNAPPA,M,KNDP,3089,30,GEN,86551,127913,NAVALGUND,GEN,9,67.66,3.57
Karnataka,2004,5,7,191,6,RANGASWAMY R D,M,IND,999,42,GEN,86551,127913,NAVALGUND,GEN,9,67.66,1.15
Karnataka,2004,5,7,191,7,CHALAVADI GURUSHAMAPPAHANUMAPPA,M,SP,821,45,SC,86551,127913,NAVALGUND,GEN,9,67.66,0.95
Karnataka,2004,5,7,191,8,PACHANGI SHIVANAND LAXMAN,M,USYP,770,42,GEN,86551,127913,NAVALGUND,GEN,9,67.66,0.89
Karnataka,2004,5,7,191,9,MUNDINAMANI H N,M,IND,559,33,SC,86551,127913,NAVALGUND,GEN,9,67.66,0.65
